id_symptoms,symptoms,herbs,usage_method,relevance_score
1,Batuk,Adas,"Rebus 1-2 sendok teh biji adas dalam 1,5 gelas air hingga tersisa sekitar satu gelas. Setelah mendidih, saring air rebusan dan minum selagi hangat. Air rebusan ini dapat diminum 2-3 kali sehari untuk membantu meredakan batuk, karena adas memiliki sifat ekspektoran yang membantu mengencerkan lendir dan melegakan saluran pernapasan.","0,7"
2,Sakit tenggorokan,Adas,"Rebus 1-2 sendok teh biji adas dalam segelas air selama 5-10 menit. Setelah itu, saring airnya dan tambahkan sedikit madu untuk meningkatkan rasa. Minum ramuan ini selagi hangat 2-3 kali sehari","0,6"
3,Sariawan,Adas,"Rebus 1-2 sendok teh biji adas dalam segelas air hingga mendidih selama 5-10 menit. Setelah itu, saring air rebusan dan biarkan dingin. Gunakan air ini sebagai obat kumur, berkumur selama 1-2 menit di area sariawan. Lakukan langkah ini 2-3 kali sehari untuk membantu meredakan iritasi dan mempercepat penyembuhan, berkat sifat anti-inflamasi dan antiseptik yang dimiliki adas.","0,8"
4,Nyeri haid,Adas,"Rebus 1-2 sendok teh biji adas dalam segelas air selama 10-15 menit. Setelah mendidih, saring air rebusan dan biarkan hangat. Minum ramuan ini dua kali sehari, pagi dan malam, untuk membantu menyeimbangkan hormon dan merangsang siklus menstruasi. Kandungan fitoestrogen dalam adas membantu mengatur keseimbangan hormonal secara alami.","0,9"
5,Perut kembung,Adas,"Seduh 1-2 sendok teh biji adas dalam segelas air panas selama 10 menit. Setelah disaring, minum air seduhan ini selagi hangat. Kandungan dalam adas memiliki sifat karminatif yang membantu mengurangi gas berlebih di saluran pencernaan dan memberikan rasa nyaman pada perut.",1
6,Mual,Adas,"Rebus 1-2 sendok teh biji adas dalam segelas air selama 10 menit. Setelah mendidih, saring air rebusan dan tambahkan sedikit madu untuk rasa. Minum secara perlahan selagi hangat untuk membantu menenangkan perut dan mengurangi rasa mual.","0,9"
7,Pilek,Adas,"rebus 1–2 sendok teh biji adas dalam 250 ml air selama 10–15 menit, kemudian menyaring air rebusan tersebut. Air rebusan diminum selagi hangat untuk membantu meredakan hidung tersumbat, dan uapnya juga bisa dihirup dengan menutupi kepala menggunakan handuk untuk membuka saluran pernapasan.",1
8,Diare,Adas,"Untuk diare, rebus 1 sendok teh biji adas dalam dua gelas air hingga tersisa setengahnya. Saring dan minum air rebusan ini dua kali sehari. Adas membantu mengurangi peradangan pada saluran pencernaan dan mengembalikan fungsi normal sistem pencernaan.","0,7"
9,Susah tidur,Adas,"Untuk mengatasi susah tidur, seduh 1 sendok teh biji adas dengan air panas seperti membuat teh. Tambahkan sedikit madu jika diperlukan. Minum seduhan ini 30 menit sebelum tidur untuk membantu tubuh rileks, berkat efek menenangkan dari senyawa alami adas.","0,8"
10,Batuk,Akar manis,Rebus 1-2 sendok teh akar manis kering dalam 2 gelas air selama 10-15 menit hingga tersisa setengahnya. Saring air rebusan dan minum hangat dua kali sehari. Akar manis membantu meredakan iritasi tenggorokan dan mengurangi lendir berlebih.,"0,8"
11,Gangguan pencernaan,Akar manis,"Campurkan 1 sendok teh bubuk akar manis ke dalam segelas air hangat. Minum sebelum makan, dua kali sehari. Akar manis membantu melapisi dinding lambung, mengurangi iritasi, dan mempercepat penyembuhan luka pada lambung.","0,9"
12,Nyeri sendi,Akar manis,Buat teh dengan merebus 1 sendok teh akar manis dalam segelas air selama 10 menit. Saring dan minum hangat sekali sehari. Sifat anti-inflamasi pada akar manis membantu mengurangi rasa nyeri dan pembengkakan pada sendi.,"0,7"
13,Susah tidur,Akar manis,"Seduh 1 sendok teh akar manis kering dengan air panas seperti membuat teh. Tambahkan madu untuk rasa, dan minum selagi hangat. Konsumsi satu kali sehari untuk membantu tubuh lebih rileks dan mengurangi gejala stres.","0,6"
14,Sakit tenggorokan,Akar manis,"Akar manis memiliki sifat anti-inflamasi dan antimikroba yang efektif meredakan sakit tenggorokan. Rebus 1-2 sendok teh akar manis kering dalam segelas air selama 10 menit, lalu saring. Gunakan air rebusan untuk diminum hangat dua kali sehari, atau sebagai obat kumur untuk mengurangi iritasi.","0,85"
15,Panas dalam,Alang-alang,Alang-alang (Imperata cylindrica) efektif meredakan panas dalam. Rebus segenggam akar alang-alang yang telah dicuci bersih dalam 3 gelas air hingga tersisa setengahnya. Saring dan minum air rebusan ini hangat dua kali sehari untuk membantu mendinginkan tubuh.,"0,9"
16,Gangguan pencernaan,Alang-alang,"Rebus 50 gram akar alang-alang dalam 4 gelas air hingga tersisa 2 gelas. Saring dan minum airnya secara rutin, dua kali sehari. Alang-alang memiliki sifat diuretik yang membantu melancarkan buang air kecil dan membersihkan saluran kemih.",1
17,Darah tinggi,Alang-alang,Rebus 30 gram akar alang-alang segar dengan 2 gelas air hingga tersisa 1 gelas. Saring dan minum sehari sekali. Alang-alang membantu menurunkan tekanan darah berkat sifat diuretik dan anti-inflamasinya.,"0,7"
18,Batuk,Alang-alang,"Rebus 20 gram akar alang-alang dalam 2 gelas air hingga mendidih dan tersisa separuhnya. Tambahkan sedikit madu untuk rasa, dan minum hangat dua kali sehari. Kandungan pada alang-alang membantu mengencerkan dahak dan meredakan batuk.","0,6"
19,Mimisan,Alang-alang,"Untuk menghentikan mimisan, cuci bersih akar alang-alang, lalu tumbuk hingga halus. Peras untuk mengambil sarinya, kemudian teteskan beberapa tetes ke lubang hidung yang mimisan. Sifat hemostatik alang-alang membantu menghentikan perdarahan.","0,8"
20,Mimisan,Andong,"Untuk mengatasi pendarahan, seperti mimisan atau luka kecil, haluskan daun andong segar dan tempelkan pada area yang berdarah. Senyawa hemostatiknya membantu menghentikan perdarahan dengan cepat.","0,9"
21,Luka,Andong,"Rebus beberapa lembar daun andong dengan segelas air hingga mendidih, lalu gunakan air rebusan yang telah dingin untuk mencuci luka. Sifat antiseptiknya membantu mencegah infeksi dan mempercepat penyembuhan.","0,8"
22,Nyeri haid,Andong,Rebus 2-3 lembar daun andong segar dengan 2 gelas air hingga mendidih. Saring dan minum hangat sehari dua kali selama periode menstruasi. Andong membantu meredakan kram perut dan memperlancar aliran darah.,"0,7"
23,Iritasi kulit,Andong,"Tumbuk daun andong segar hingga halus, lalu tempelkan pada area kulit yang meradang atau mengalami iritasi. Biarkan selama 15-20 menit, lalu bilas dengan air hangat. Sifat anti-inflamasi dan menenangkan dari andong membantu meredakan gejala radang.","0,85"
24,Gangguan pencernaan,Andong,"Ambil beberapa lembar daun andong, rebus dengan 2 gelas air hingga tersisa setengahnya. Saring dan minum air rebusan ini dua kali sehari. Sifat anti-inflamasi daun andong membantu mengurangi peradangan dan rasa nyeri pada wasir.","0,75"
25,Batuk,Aren,Gunakan nira aren yang segar. Minum 1-2 sendok makan nira aren yang telah dipanaskan ringan setiap pagi dan malam. Nira aren membantu melegakan tenggorokan dan meredakan batuk.,"0,6"
26,Sembelit,Aren,"Campurkan 2 sendok makan gula aren ke dalam segelas air hangat, aduk hingga larut. Minum di pagi hari sebelum makan untuk membantu melancarkan buang air besar, berkat sifat pencahar alami dari gula aren.","0,8"
27,Demam,Aren,Rebus 1-2 lembar daun aren muda dalam 2 gelas air hingga mendidih. Saring dan minum air rebusan hangat dua kali sehari. Daun aren memiliki sifat antipiretik yang dapat membantu menurunkan demam.,"0,5"
28,Panas dalam,Aren,"Larutkan 2 sendok makan gula aren dalam 200 ml air hangat, lalu diminum 1–2 kali sehari. ","0,7"
29,Perut kembung,Aren,"Larutkan 2 sendok teh gula aren dalam segelas air hangat dan tambahkan sedikit perasan jeruk nipis. Minum secara perlahan setelah makan untuk membantu pencernaan, karena gula aren dapat merangsang enzim pencernaan dan mengurangi kembung.","0,6"
30,Demam,Asam jawa,"Asam jawa dapat membantu menurunkan demam. Rebus 10 gram daging buah asam jawa dengan segelas air hingga mendidih. Setelah dingin, minum air rebusan ini dua kali sehari untuk membantu tubuh menurunkan suhu.","0,8"
31,Batuk,Asam jawa,"Untuk mengatasi batuk berdahak, seduh 15 gram asam jawa dengan air hangat dan tambahkan sedikit madu. Minum ramuan ini dua kali sehari untuk membantu mengencerkan dahak dan meredakan batuk.","0,6"
32,Sembelit,Asam jawa,"Asam jawa memiliki efek pencahar alami. Ambil 15 gram daging buah asam jawa, seduh dengan segelas air hangat, tambahkan sedikit gula untuk rasa, dan minum sebelum tidur. Ramuan ini membantu melancarkan buang air besar.","0,9"
33,Sakit tenggorokan,Asam jawa,Campurkan 10 gram asam jawa dengan 1 sendok teh garam ke dalam segelas air hangat. Gunakan campuran ini untuk berkumur 2-3 kali sehari. Ramuan ini membantu meredakan peradangan dan membunuh bakteri di tenggorokan.,"0,7"
34,Nyeri haid,Asam jawa,"Untuk mengatasi nyeri haid, seduh 10 gram asam jawa dengan air hangat dan tambahkan gula merah. Minum dua kali sehari saat nyeri muncul. Asam jawa membantu melancarkan aliran darah dan meredakan kram.","0,8"
35,Demam,Bawang merah,"Haluskan 2-3 siung bawang merah, campurkan dengan minyak kelapa, dan gosokkan pada bagian punggung, dada, dan kaki. Cara ini membantu menurunkan suhu tubuh berkat efek menenangkan dari bawang merah.","0,8"
36,Batuk,Bawang merah,"Iris bawang merah dan campur dengan madu atau gula merah. Diamkan selama beberapa jam hingga keluar cairannya, lalu minum satu sendok teh cairan tersebut dua kali sehari. Bawang merah membantu meredakan batuk dengan sifat ekspektoran alami.","0,6"
37,Perut kembung,Bawang merah,"Tumbuk halus 3 siung bawang merah, campurkan dengan sedikit minyak kayu putih, dan oleskan pada area perut dan punggung. Kombinasi ini membantu menghangatkan tubuh dan mengurangi gejala masuk angin.","0,9"
38,Nyeri sendi,Bawang merah,Tumbuk halus bawang merah dan campurkan dengan minyak kelapa hangat. Gunakan campuran ini sebagai kompres pada sendi yang nyeri. Bawang merah membantu meredakan peradangan dan mengurangi rasa sakit.,"0,7"
39,Luka,Bawang merah,Iris bawang merah dan oleskan cairannya langsung pada luka kecil. Sifat antimikroba bawang merah membantu mencegah infeksi dan mempercepat penyembuhan luka.,"0,5"
40,Pilek,Bawang putih,"Hancurkan 2-3 siung bawang putih segar hingga halus, lalu campurkan dengan air hangat atau teh hangat. Tambahkan madu untuk memperbaiki rasa jika diperlukan, dan minum ramuan ini dua kali sehari.","0,8"
41,Darah tinggi,Bawang putih,"Konsumsi bawang putih mentah dengan cara memakan 1 siung per hari, atau rebus 2-3 siung bawang putih dalam segelas susu dan minum hangat setiap pagi. Bawang putih membantu melebarkan pembuluh darah dan menurunkan tekanan darah.","0,95"
42,Kolesterol,Bawang putih,"Iris halus 2 siung bawang putih dan tambahkan ke salad atau sup harian Anda. Alternatifnya, konsumsi kapsul ekstrak bawang putih sesuai petunjuk. Bawang putih efektif mengurangi kadar kolesterol LDL dalam darah.","0,9"
43,Nyeri otot,Bawang putih,"Hancurkan bawang putih dan campur dengan minyak kelapa atau minyak zaitun hangat. Oleskan pada area otot yang terasa nyeri, pijat perlahan, dan biarkan selama 30 menit sebelum dibilas. Sifat anti-inflamasi bawang putih membantu mengurangi nyeri.","0,6"
44,Iritasi kulit,Bawang putih,"Tumbuk 1 siung bawang putih hingga halus, campur dengan sedikit air, lalu oleskan pada area kulit yang terinfeksi. Biarkan selama 10-15 menit sebelum dibilas. Lakukan ini 1-2 kali sehari untuk membantu membasmi bakteri atau jamur penyebab infeksi.","0,5"
45,Diare,Bayam,"Rebus 2 genggam daun bayam segar dalam 500 ml air hingga mendidih, lalu menyaring air rebusannya. Minum air rebusan tersebut 2 kali sehari, masing-masing sebanyak 1 gelas, untuk membantu meredakan gejala diare.","0,6"
46,Sembelit,Bayam,"Kandungan serat dalam bayam sangat efektif untuk memperlancar pencernaan. Rebus daun bayam dengan sedikit garam hingga matang, kemudian konsumsi sebagai lauk sehari sekali untuk membantu meredakan sembelit.","0,8"
47,Nyeri otot,Bayam,Bayam mengandung magnesium dan kalsium yang baik untuk kekuatan otot. Buat sup bayam dengan menambahkan bawang putih dan kaldu ayam untuk meningkatkan penyerapan nutrisi. Konsumsi secara rutin untuk meningkatkan energi otot.,"0,7"
48,Perut kembung,Bayam,"Untuk mengatasi gangguan pencernaan seperti perut kembung atau gangguan lambung, rebus bayam dengan air hingga matang, tambahkan sedikit jahe untuk meningkatkan manfaatnya. Konsumsi air rebusan dan daunnya hangat.","0,4"
49,Iritasi kulit,Bayam,"Bayam memiliki sifat antioksidan yang membantu menyembuhkan iritasi kulit. Tumbuk daun bayam hingga halus, campur dengan sedikit minyak kelapa, dan aplikasikan pada area kulit yang meradang. Biarkan selama 15-20 menit sebelum dibilas dengan air hangat. Gunakan dua kali sehari untuk hasil optimal.","0,5"
